frame_idx,timestamp,mic_rms,mic_peak,ref_rms,ref_peak,ref_is_silence,delay_samples,delay_ms,is_double_talk,nlms_residual_rms,echo_est_rms,nls_output_rms,nls_bypassed,erle_instant_db,filter_norm,process_time_ms
2,1774518054.5452,0.00035988,0.001099,0.00017571,0.000610,0,0,0.00,0,0.00020392,0.00031376,0.00015866,0,7.10,0.569984,17.788
3,1774518054.6153,0.00044288,0.001373,0.00017571,0.000610,0,0,0.00,0,0.00024721,0.00040503,0.00005655,0,17.74,0.583592,18.022
4,1774518054.6748,0.00048510,0.001587,0.00019396,0.000763,0,0,0.00,0,0.00044316,0.00035055,0.00007034,0,16.69,0.694351,17.980
5,1774518054.7335,0.00057479,0.001831,0.00000879,0.000061,0,0,0.00,1,0.00061729,0.00017479,0.00024591,0,7.37,0.694351,5.861
6,1774518054.7942,0.00052883,0.001617,0.00000879,0.000061,0,0,0.00,1,0.00055440,0.00011502,0.00020297,0,8.31,0.694351,6.543
7,1774518054.8552,0.00059704,0.001587,0.00001779,0.000122,0,0,0.00,1,0.00065140,0.00017298,0.00028884,0,6.30,0.694351,5.935
8,1774518054.9226,0.00038727,0.001099,0.00001779,0.000122,0,0,0.00,1,0.00037589,0.00012548,0.00030081,0,2.19,0.694351,5.867
9,1774518054.9833,0.00047974,0.001892,0.00063458,0.004272,0,0,0.00,1,0.00053971,0.00016713,0.00016273,0,9.37,0.694351,5.945
10,1774518055.0525,0.00046993,0.001434,0.05707267,0.293762,0,0,0.00,1,0.02458485,0.02466652,0.00036259,0,2.25,0.694351,5.589
11,1774518055.1248,0.00036478,0.001373,0.04585445,0.198669,0,215,13.44,0,0.01336542,0.01330450,0.01336542,1,-31.28,0.675928,17.881
12,1774518055.1844,0.00044000,0.001434,0.03176393,0.128143,0,215,13.44,0,0.01156780,0.01158440,0.00780317,0,-24.98,0.665640,17.635
13,1774518055.2552,0.00037533,0.001129,0.03175891,0.128113,0,215,13.44,0,0.01394290,0.01389745,0.00540800,0,-23.17,0.651846,18.316
14,1774518055.3153,0.00068943,0.002289,0.24931643,0.997253,0,215,13.44,0,0.02971650,0.02951454,0.00696448,0,-20.09,0.616643,17.984
15,1774518055.3860,0.00049552,0.001465,0.25043359,0.828552,0,215,13.44,0,0.03954446,0.03935357,0.01859970,0,-31.49,0.599309,19.044
16,1774518055.4444,0.00124764,0.004791,0.18866323,0.712372,0,215,13.44,0,0.04825737,0.04840448,0.02316017,0,-25.37,0.586978,17.721
17,1774518055.5045,0.08078214,0.353333,0.15867949,0.571289,0,215,13.44,0,0.07437113,0.09057312,0.02241876,0,11.13,0.574951,17.375
18,1774518055.5763,0.14785092,0.490601,0.15861044,0.571228,0,215,13.44,0,0.10075389,0.14773327,0.04623817,0,10.10,0.564588,18.992
19,1774518055.6356,0.06613670,0.191406,0.25753047,0.810028,0,215,13.44,0,0.06360521,0.08422869,0.05188923,0,2.11,0.547405,18.598
20,1774518055.7046,0.05436449,0.290741,0.35456945,0.999908,0,215,13.44,0,0.05787654,0.06509361,0.02933239,0,5.36,0.538741,18.278
21,1774518055.7540,0.39830235,0.993744,0.26365456,0.864990,0,215,13.44,1,0.45469558,0.20345573,0.04081944,0,19.79,0.538741,6.809
22,1774518055.8128,0.29737779,0.979797,0.18200704,0.550598,0,215,13.44,1,0.41752330,0.27130065,0.41109362,0,-2.81,0.538741,6.432
23,1774518055.8834,0.14800982,0.467407,0.10804147,0.520721,0,619,38.69,1,0.34778427,0.31049559,0.34778427,1,-7.42,0.538741,6.114
24,1774518055.9431,0.17967204,0.542725,0.05086253,0.156555,0,619,38.69,1,0.29357209,0.25732248,0.20798028,0,-1.27,0.538741,6.135
25,1774518056.0120,0.24307326,0.622345,0.01850141,0.063049,0,619,38.69,1,0.32720889,0.22675956,0.16604179,0,3.31,0.538741,5.444
26,1774518056.0740,0.38739296,0.994080,0.00036354,0.000885,0,619,38.69,1,0.41190817,0.15476852,0.20172869,0,5.67,0.538741,6.667
27,1774518056.1329,0.28698433,0.960297,0.00009162,0.000336,0,4299,268.69,1,0.30302893,0.10623881,0.30302893,1,-0.47,0.538741,5.830
28,1774518056.2027,0.20150199,0.608490,0.00007466,0.000275,0,4299,268.69,1,0.21602332,0.09198516,0.21408367,0,-0.53,0.538741,5.995
29,1774518056.2630,0.15324343,0.520294,0.00006711,0.000275,0,4299,268.69,1,0.17777805,0.07676665,0.13818671,0,0.90,0.538741,5.898
30,1774518056.3327,0.06123410,0.286774,0.00006799,0.000275,0,4299,268.69,1,0.11550020,0.09929659,0.08366724,0,-2.71,0.538741,5.505
31,1774518056.3948,0.01124805,0.060547,0.00005352,0.000214,0,4299,268.69,1,0.07907452,0.07679892,0.04163326,0,-11.37,0.538741,7.144
32,1774518056.4529,0.00276652,0.011658,0.00030904,0.001282,0,4299,268.69,1,0.03915378,0.03923392,0.00791447,0,-9.13,0.538741,5.663
1,1774518056.5345,0.00139411,0.005219,0.00058094,0.003937,0,4299,268.69,0,0.00110421,0.00154280,0.00110421,1,2.02,0.537898,17.732
2,1774518056.5826,0.00103868,0.003387,0.00110586,0.005096,0,4299,268.69,1,0.00104684,0.00009978,0.00104684,1,-0.07,0.537898,5.916
3,1774518056.6540,0.00068535,0.002258,0.00076696,0.002655,0,134,8.38,1,0.00068494,0.00004057,0.00004679,0,23.12,0.537898,5.783
4,1774518056.7127,0.08501860,0.450897,0.00009039,0.000366,0,134,8.38,1,0.08501968,0.00006134,0.00016484,0,54.23,0.537898,5.831
5,1774518056.7729,0.13541895,0.597076,0.00004665,0.000183,0,134,8.38,1,0.13542273,0.00007333,0.06802751,0,5.98,0.537898,5.646
6,1774518056.8430,0.01865267,0.144348,0.00003590,0.000153,0,134,8.38,1,0.01864064,0.00011829,0.01864064,1,0.01,0.537898,5.929
7,1774518056.9039,0.21072249,0.566498,0.00002716,0.000092,0,4299,268.69,1,0.21072109,0.00009044,0.01919963,0,20.81,0.537898,6.573
8,1774518056.9729,0.40125606,0.996338,0.00002582,0.000092,0,4299,268.69,1,0.40125686,0.00009915,0.19915516,0,6.08,0.537898,6.302
